2026-07-09 20:41:38.684 | DEBUG    | app.view.main_window:initWindow:50 | 已设置窗口基本属性
2026-07-09 20:41:38.687 | DEBUG    | app.view.main_window:initWindow:55 | 已创建并设置启动屏幕
2026-07-09 20:41:38.688 | DEBUG    | app.view.main_window:initWindow:60 | 已移动窗口到屏幕中心
2026-07-09 20:41:38.715 | INFO     | app.view.main_window:initWindow:64 | 窗口初始化完成并显示
2026-07-09 20:41:38.719 | INFO     | app.view.setting_interface:__init__:32 | [Setting] SoftwareSettingWidget 初始化
2026-07-09 20:41:38.737 | INFO     | app.view.setting_interface:__init__:180 | [Setting] LicenseSettingWidget 初始化
2026-07-09 20:41:38.776 | INFO     | app.view.setting_interface:_loadDeviceId:267 | [Setting] 设备码加载成功: 6a381896f683703f...
2026-07-09 20:42:36.198 | INFO     | app.view.main_window:__init__:16 | 开始初始化主窗口
2026-07-09 20:42:36.311 | INFO     | app.view.main_window:initWindow:43 | 开始初始化窗口设置
2026-07-09 20:42:36.673 | DEBUG    | app.view.main_window:initWindow:50 | 已设置窗口基本属性
2026-07-09 20:42:36.675 | DEBUG    | app.view.main_window:initWindow:55 | 已创建并设置启动屏幕
2026-07-09 20:42:36.675 | DEBUG    | app.view.main_window:initWindow:60 | 已移动窗口到屏幕中心
2026-07-09 20:42:36.706 | INFO     | app.view.main_window:initWindow:64 | 窗口初始化完成并显示
2026-07-09 20:42:36.709 | INFO     | app.view.setting_interface:__init__:32 | [Setting] SoftwareSettingWidget 初始化
2026-07-09 20:42:36.728 | INFO     | app.view.setting_interface:__init__:180 | [Setting] LicenseSettingWidget 初始化
2026-07-09 20:42:36.776 | INFO     | app.view.setting_interface:_loadDeviceId:267 | [Setting] 设备码加载成功: 6a381896f683703f...
2026-07-09 20:42:36.797 | INFO     | app.view.setting_interface:_updateActivationStatus:348 | [Setting] 当前状态: gg | 有效期至 2026-12-31 | 剩余 174 天
2026-07-09 20:42:36.845 | DEBUG    | app.view.main_window:connectSignalToSlot:29 | 连接信号和槽
2026-07-09 20:42:36.847 | INFO     | app.view.main_window:initNavigation:32 | 开始初始化导航界面
2026-07-09 20:42:36.868 | INFO     | app.view.main_window:initNavigation:40 | 导航界面初始化完成
2026-07-09 20:42:36.868 | INFO     | app.view.main_window:__init__:26 | 主窗口初始化完成
2026-07-09 20:42:41.889 | INFO     | __main__:<module>:48 | 应用程序退出
2026-07-09 20:42:48.044 | INFO     | app.view.main_window:__init__:16 | 开始初始化主窗口
2026-07-09 20:42:48.155 | INFO     | app.view.main_window:initWindow:43 | 开始初始化窗口设置
2026-07-09 20:42:48.507 | DEBUG    | app.view.main_window:initWindow:50 | 已设置窗口基本属性
2026-07-09 20:42:48.508 | DEBUG    | app.view.main_window:initWindow:55 | 已创建并设置启动屏幕
2026-07-09 20:42:48.508 | DEBUG    | app.view.main_window:initWindow:60 | 已移动窗口到屏幕中心
2026-07-09 20:42:48.539 | INFO     | app.view.main_window:initWindow:64 | 窗口初始化完成并显示
2026-07-09 20:42:48.541 | INFO     | app.view.setting_interface:__init__:32 | [Setting] SoftwareSettingWidget 初始化
2026-07-09 20:42:48.559 | INFO     | app.view.setting_interface:__init__:180 | [Setting] LicenseSettingWidget 初始化
2026-07-09 20:42:48.605 | INFO     | app.view.setting_interface:_loadDeviceId:267 | [Setting] 设备码加载成功: 6a381896f683703f...
2026-07-09 20:43:09.990 | INFO     | app.view.main_window:__init__:16 | 开始初始化主窗口
